Date,Open,High,Low,Close,Volume,hour_change,24hr_change
11/13/2015 17:00,330.05,331,330.05,331,8.021189794,0.287,1.017
11/13/2015 16:00,331,331,330.05,330.05,30.40427104,-0.288,1.934
11/13/2015 15:00,330.14,332.76,329.59,331,51.24030361,0.26,2.194
11/13/2015 14:00,330.14,330.14,330.14,330.14,0,0,2.194
11/13/2015 13:00,348,348,330.14,330.14,0.56,-5.41,-3.216
11/13/2015 12:00,327.14,348.58,327.14,348,1.990892483,5.994,2.778
11/13/2015 11:00,329.12,329.12,327.14,327.14,4.54,-0.605,2.173
11/13/2015 10:00,331.04,331.04,329.12,329.12,8.91,-0.583,1.59
11/13/2015 9:00,329,331.04,326.6,331.04,28.52,0.616,2.917
11/13/2015 8:00,334.97,334.97,329,329,0.44072948,-1.815,1.102
11/13/2015 7:00,338.04,338.04,334.97,334.97,67.1,-0.916,0.186
11/13/2015 6:00,340,340,338.04,338.04,0.590170533,-0.58,-0.394
11/13/2015 5:00,337.91,340,337.91,340,25.51,0.615,0.221
11/13/2015 4:00,337.87,338.21,337.87,337.91,30,0.012,0.233
11/13/2015 3:00,340,340.38,337.04,337.87,2.986323794,-0.63,-0.397
11/13/2015 2:00,340,340,340,340,0,0,-1.103
11/13/2015 1:00,340,340,340,340,0,0,-2.489
11/13/2015 0:00,340,340,340,340,0,0,-1.414
11/12/2015 23:00,335.9,341.51,334.73,340,10.41709045,1.206,-0.036
11/12/2015 22:00,329.69,335.9,329.5,335.9,109.5825755,1.849,2.575
11/12/2015 21:00,328.12,329.69,328.12,329.69,11.748,0.476,1.388
11/12/2015 20:00,328.04,328.12,326.43,328.12,57.14117629,0.024,1.113
11/12/2015 19:00,328.29,329.69,327.69,328.04,55.1883,-0.076,1.037
11/12/2015 18:00,331,339.37,328.22,328.29,219.0386524,-0.825,0.212
11/12/2015 17:00,331,331,331,331,0,0,-0.389
11/12/2015 16:00,326,331,326,331,9.415,1.511,0.835
11/12/2015 15:00,326,326,326,326,0,0,1.123
11/12/2015 14:00,325,334.99,324.81,326,23.99132942,0.307,1.17
11/12/2015 13:00,334,334,325,325,74.8266,-2.769,-1.599
11/12/2015 12:00,329.45,334,329.45,334,15,1.362,5.173
11/12/2015 11:00,343.31,343.31,329.45,329.45,15.8594171,-4.207,-5.028
11/12/2015 10:00,344.8,344.8,343.31,343.31,14.38831049,-0.434,-4.857
11/12/2015 9:00,333.37,344.8,333.37,344.8,100.876246,3.315,-0.959
11/12/2015 8:00,332,333.37,332,333.37,0.01,0.411,-1.164
11/12/2015 7:00,330.2,332,330.2,332,14.99340362,0.542,1.193
11/12/2015 6:00,324.95,330.2,324.95,330.2,32.86,1.59,3.699
11/12/2015 5:00,320.71,324.95,316.01,324.95,96.502774,1.305,5.584
11/12/2015 4:00,320,320.71,320,320.71,0.598982728,0.221,5.19
11/12/2015 3:00,317.96,320.01,317.96,320,46.3642,0.638,5.816
11/12/2015 2:00,317.73,328.55,317.73,317.96,107.6817639,0.072,6.518
11/12/2015 1:00,314.5,317.73,314.5,317.73,51.94834708,1.017,7.535
11/12/2015 0:00,310,316.01,310,314.5,135.4112574,1.431,8.966
11/11/2015 23:00,306,310,300.51,310,20.49755698,1.29,10.256
11/11/2015 22:00,310,310,300,306,73.70533439,-1.307,7.743
11/11/2015 21:00,312.99,314.68,309,310,278.8121243,-0.965,4.929
11/11/2015 20:00,309,312.99,309,312.99,4.33959749,1.275,5.728
11/11/2015 19:00,309,309,309,309,0.32295878,0,5.704
11/11/2015 18:00,308.92,309.64,308.21,309,89.50130695,0.026,5.806
